"N_Policy","Company","Category","Char","Started","Expired","TK","City","District","Mark","Use","Gender","Gross","Net","Commissions","id"
"117975","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΝΗΕ6124","16/11/2020","16/05/2021","13231","ΠΕΤΡΟΥΠΟΛΗ","ΑΤΤΙΚΗΣ","FORD","ΕΙΧ","2",2.5,1.81,0.4,168
"32049107","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΝΗΕ6124","16/11/2020","16/05/2021","13231","ΠΕΤΡΟΥΠΟΛΗ","ΑΤΤΙΚΗΣ","FORD","ΕΙΧ","2",103.95,71.07,7.11,168
"646119","MAPFRE ASISTENCIA","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΝΗΕ6124","16/05/2020","16/11/2020","13231","ΠΕΤΡΟΥΠΟΛΗ","ΑΤΤΙΚΗΣ","FORD","ΕΙΧ","2",11,7.36,0.29,168
"69656","INTERASCO","ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ (ΟΧΗΜΑ)","ΝΗΕ6124","16/11/2020","16/05/2021","13231","ΠΕΤΡΟΥΠΟΛΗ","ΑΤΤΙΚΗΣ","FORD","ΕΙΧ","2",1.5,1,0.22,168
"283657","EUROP ASSISTANCE","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΝΗΕ6124","16/11/2020","16/05/2021","13231","ΠΕΤΡΟΥΠΟΛΗ","ΑΤΤΙΚΗΣ","FORD","ΕΙΧ","2",11,7.66,0.31,168
"81173","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΝΗΕ6124","16/05/2020","16/11/2020","13231","ΠΕΤΡΟΥΠΟΛΗ","ΑΤΤΙΚΗΣ","FORD","ΕΙΧ","2",2.5,1.81,0.4,168
"52091","INTERASCO","ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ (ΟΧΗΜΑ)","ΝΗΕ6124","16/05/2020","16/11/2020","13231","ΠΕΤΡΟΥΠΟΛΗ","ΑΤΤΙΚΗΣ","FORD","ΕΙΧ","2",1.5,1,0.22,168
"31676902","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΙΥΕ6938","17/11/2020","17/05/2021","17455","ΑΛΙΜΟΣ","ΑΤΤΙΚΗΣ","SMART","ΕΙΧ","1",236.19,162.51,16.25,157
"31676902","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΙΥΕ6938","17/05/2020","17/11/2020","17455","ΑΛΙΜΟΣ","ΑΤΤΙΚΗΣ","SMART","ΕΙΧ","1",244.83,168.43,16.84,157
"80755","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΙΥΕ6938","17/05/2020","17/11/2020","17455","ΑΛΙΜΟΣ","ΑΤΤΙΚΗΣ","SMART","ΕΙΧ","1",2.5,1.81,0.4,157
"117265","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΙΥΕ6938","17/11/2020","17/05/2021","17455","ΑΛΙΜΟΣ","ΑΤΤΙΚΗΣ","SMART","ΕΙΧ","1",2.5,1.81,0.4,157
"86795","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΑΙΚ4922","11/05/2020","11/05/2021","15452","ΨΥΧΙΚΟ","ΑΤΤΙΚΗΣ","MITSUBISHI","ΕΙΧ","1",5,3.62,0.8,514
"32236306","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΑΙΚ4922","11/05/2020","11/05/2021","15452","ΨΥΧΙΚΟ","ΑΤΤΙΚΗΣ","MITSUBISHI","ΕΙΧ","1",221.42,151.83,15.18,514
"5160124","Eurolife FFH","ΑΥΤΟΚΙΝΗΤΟ","ΑΙΚ4922","11/05/2020","11/05/2021","15452","ΨΥΧΙΚΟ","ΑΤΤΙΚΗΣ","MITSUBISHI","ΕΙΧ","1",188.41,129.01,28.38,514
"61494506","ΕΘΝΙΚΗ Ασφαλιστική","ΑΥΤΟΚΙΝΗΤΟ","ΒΚΑ6220","27/03/2020","27/06/2020","19001","ΚΕΡΑΤΕΑ","ΑΤΤΙΚΗΣ","FORD","ΕΙΧ","2",55.74,39.83,7.97,62
"622936","MAPFRE ASISTENCIA","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΒΚΑ6220","27/03/2020","27/06/2020","19001","ΚΕΡΑΤΕΑ","ΑΤΤΙΚΗΣ","FORD","ΕΙΧ","2",5.5,3.68,0.15,62
"254695","EUROP ASSISTANCE","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΒΚΑ6220","27/09/2020","27/12/2020","19001","ΚΕΡΑΤΕΑ","ΑΤΤΙΚΗΣ","FORD","ΕΙΧ","2",5.5,3.82,0.11,62
"32321602","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΒΚΑ6220","27/09/2020","27/12/2020","19001","ΚΕΡΑΤΕΑ","ΑΤΤΙΚΗΣ","FORD","ΕΙΧ","2",49.29,33.66,3.37,62
"63285","INTERASCO","ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ (ΟΧΗΜΑ)","ΒΚΑ6220","27/09/2020","27/12/2020","19001","ΚΕΡΑΤΕΑ","ΑΤΤΙΚΗΣ","FORD","ΕΙΧ","2",0.75,0.5,0.11,62
"105337","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΒΚΑ6220","27/09/2020","27/12/2020","19001","ΚΕΡΑΤΕΑ","ΑΤΤΙΚΗΣ","FORD","ΕΙΧ","2",1.25,0.91,0.2,62
