"N_Policy","Company","Category","Type_policy","Char","Started","Expired","City","District","Gross","Net","Commissions","id"
"213478881","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","уяу4823","02/06/2017","02/07/2017","ламдяа","аттийг",33,21.88,4.38,1676
"02027681807","ERGO A.A.E.Z","аутойимгтым","аМАМщЫСГ","ием7225","01/01/2017","01/04/2017","ламдяа","аттийг",48,32.12,7.01,1676
"19013547840","имтеясакомийа","аутойимгтым","аМАМщЫСГ","уяу4823","02/11/2017","02/12/2017","ламдяа","аттийг",33,21.88,4.38,1676
"19013547840","имтеясакомийа","аутойимгтым","аМАМщЫСГ","уяу4823","02/07/2017","02/08/2017","ламдяа","аттийг",33,21.88,4.38,1676
"яж5148","суметаияистийг","аутойимгтым","аМАМщЫСГ","уят3521","05/10/2017","05/01/2018","ламдяа","аттийг",70,48.07,9.61,1676
"еп3660","суметаияистийг","аутойимгтым","мщО сУЛБЭКАИО","ием7224","23/02/2017","23/05/2017","ламдяа","аттийг",60.5,41.07,8.21,1676
"яс4885","суметаияистийг","аутойимгтым","аМАМщЫСГ","уят3521","05/07/2017","05/10/2017","ламдяа","аттийг",70,48.07,9.61,1676
"19013547840","имтеясакомийа","аутойимгтым","аМАМщЫСГ","уяу4823","02/09/2017","02/10/2017","ламдяа","аттийг",33,21.88,4.38,1676
"19013547840","имтеясакомийа","аутойимгтым","аМАМщЫСГ","уяу4823","02/12/2017","02/01/2018","ламдяа","аттийг",33,21.88,4.38,1676
"19013547840","имтеясакомийа","аутойимгтым","аМАМщЫСГ","уяу4823","02/10/2017","02/11/2017","ламдяа","аттийг",33,21.88,4.38,1676
"02027681807","ERGO A.A.E.Z","аутойимгтым","аМАМщЫСГ","ием7225","01/10/2017","01/01/2018","ламдяа","аттийг",48,32.42,7.07,1676
"02027681807","ERGO A.A.E.Z","аутойимгтым","аМАМщЫСГ","ием7225","01/07/2017","01/10/2017","ламдяа","аттийг",48,32.42,7.07,1676
"19013547840","имтеясакомийа","аутойимгтым","аМАМщЫСГ","уяу4823","02/08/2017","02/09/2017","ламдяа","аттийг",33,21.88,4.38,1676
"02027681807","ERGO A.A.E.Z","аутойимгтым","аМАМщЫСГ","ием7225","01/04/2017","01/07/2017","ламдяа","аттийг",49,32.56,7.1,1676
"яя3759","суметаияистийг","аутойимгтым","аМАМщЫСГ","ием7224","23/05/2017","23/08/2017","ламдяа","аттийг",60.5,41.07,8.21,1676
"7190045497","PRIME INSURANCE","аутойимгтым","мщО сУЛБЭКАИО","улй8063","13/04/2017","13/10/2017",NA,NA,64.4,43.76,8.75,1862
"7190045497","PRIME INSURANCE","аутойимгтым","аМАМщЫСГ","улй8063","14/10/2017","14/04/2018",NA,NA,65.03,44.2,8.84,1862
"7199712876","INTERASCO","аутойимгтым","аМАМщЫСГ","луг2690","25/07/2017","25/07/2018",NA,NA,172.26,113.4,22.68,1756
"213527960","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","уги0739","23/06/2017","23/12/2017","паппадос","кесбоу",32,21.31,4.26,1727
"9190003464","еуяыпг аеца","аутойимгтым","мщО сУЛБЭКАИО","луб9065","23/06/2017","23/12/2017","паппадос","кесбоу",75.38,50.36,10.89,1727
"213793550","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","уги0739","25/12/2017","25/06/2018","паппадос","кесбоу",32,21.31,4.26,1727
"02043683856","ERGO A.A.E.Z","аутойимгтым","мщО сУЛБЭКАИО","луг4649","18/11/2017","18/02/2018","цеяас","кесбоу",38,25.42,5.59,1814
"19012721137","имтеясакомийа","аутойимгтым","аМАМщЫСГ","фуя2739","02/04/2017","02/10/2017","ахгма","аттийг",111,75.11,15.02,1698
"7199804448","INTERASCO","аутойимгтым","мщО сУЛБЭКАИО","иби2175","18/02/2017","18/02/2018","ахгма","аттийг",248.56,163.61,32.72,395
