N_Policy,Company,Category,Char,Started,Expired,District,Gross,Net,Commissions,id
19015397824,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΖΖ9237,20/04/2022,20/07/2022,ΑΤΤΙΚΗ,63,42.76,9.41,2396
19015397824,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΖΖ9237,20/10/2022,20/01/2023,ΑΤΤΙΚΗ,64,43.6,9.59,2396
19015541676,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΜΙ4106,21/06/2022,21/08/2022,NA,52,34.98,7.7,269
19015822183,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΥΗ5414,08/09/2022,08/03/2023,NA,152,103.02,22.65,269
19015541676,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΜΙ4106,21/08/2022,21/09/2022,NA,33,22.52,4.96,269
19015541676,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΜΙ4106,21/10/2022,21/10/2023,NA,230,155.71,34.26,269
19015541676,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΜΙ4106,21/09/2022,21/10/2022,NA,33,22.52,4.96,269
22046259,ALLIANZ,ΑΥΤΟΚΙΝΗΤΩΝ,ΑΝΠ0705,24/03/2022,24/09/2022,ΑΤΤΙΚΗ,189.77,133.46,25.36,2487
22046259,ALLIANZ,ΑΥΤΟΚΙΝΗΤΩΝ,ΑΝΠ0705,24/09/2022,24/03/2023,ΑΤΤΙΚΗ,189.75,133.45,25.36,2487
70074958,ΙΝΤΕΡΑΜΕΡΙΚΑΝ,ΟΔΙΚΗΣ ΒΟΗΘΕΙΑΣ,ΥΗΖ6420,08/09/2022,08/09/2023,ΑΤΤΙΚΗ,36,26.08,6.52,2510
5200232588,EUROP  ASSISTANCE,ΟΔΙΚΗΣ ΒΟΗΘΕΙΑΣ,ΖΖΡ7655,12/06/2022,12/06/2023,ΑΧΑΪΑΣ,32.99,28.69,7.17,2005
P0101844431,AIG,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΖΡ7655,12/06/2022,12/06/2023,ΑΧΑΪΑΣ,165.23,123.44,26.83,2005
19.218569259999999,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΖΤ802,27/10/2022,27/04/2023,ΑΤΤΙΚΗ,55.87,38.41,7.92,2248
19.218569259999999,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΖΤ802,27/04/2022,27/10/2022,ΑΤΤΙΚΗ,53.44,36.78,7.63,2248
19015483398,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΑΖΜ2236,18/10/2022,18/10/2023,NA,56,37.88,8.34,1895
9921002430,ARAG,ΝΟΜΙΚΗΣ ΠΡΟΣΤΑΣΙΑΣ,ΙΕΤ3718,23/09/2022,23/09/2023,ΑΤΤΙΚΗ,12.01,8.7,2,1278
11423329,GENERALI,ΖΩΗΣ,NA,24/08/2022,24/08/2023,ΑΤΤΙΚΗ,315.52,252.05,36.35,1278
19.222247039999999,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΑΖΜ0993,23/07/2022,23/10/2022,ΑΤΤΙΚΗ,26.43,18.18,3.78,2462
19.22432912,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΤΗ945,22/07/2022,22/08/2022,ΑΤΤΙΚΗ,24.22,16.67,3.46,2462
19.224599829999999,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΗΒΗ938,23/08/2022,23/09/2022,ΑΤΤΙΚΗ,20.15,13.84,2.87,2462
19.224329010000002,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΗΒΗ938,23/07/2022,23/08/2022,ΑΤΤΙΚΗ,20.15,13.84,2.87,2462
19.224060049999999,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΗΒΗ938,23/06/2022,23/07/2022,ΑΤΤΙΚΗ,20.15,13.84,2.87,2462
19.223504299999998,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΗΒΗ938,23/04/2022,23/05/2022,ΑΤΤΙΚΗ,20.15,13.84,2.87,2462
