"N_Policy","Company","Category","Type_policy","Char","Started","Expired","City","Gross","Net","Commissions","id"
"11512580","GENERALI","фыгс","аМАМщЫСГ",NA,"14/05/2018","14/06/2018","гкиоупокг",33.16,26.64,5.14,162
"11512580","GENERALI","фыгс","аМАМщЫСГ",NA,"14/07/2018","14/08/2018","гкиоупокг",33.44,26.64,5.14,162
"11512580","GENERALI","фыгс","аМАМщЫСГ",NA,"14/01/2018","14/02/2018","гкиоупокг",32.32,25.98,5.89,162
"11512580","GENERALI","фыгс","аМАМщЫСГ",NA,"14/08/2018","14/09/2018","гкиоупокг",33.16,26.64,5.14,162
"11512580","GENERALI","фыгс","аМАМщЫСГ",NA,"14/03/2018","14/04/2018","гкиоупокг",33.16,26.64,5.14,162
"11512580","GENERALI","фыгс","аМАМщЫСГ",NA,"14/02/2018","14/03/2018","гкиоупокг",32.32,25.98,5.89,162
"11512580","GENERALI","фыгс","аМАМщЫСГ",NA,"14/04/2018","14/05/2018","гкиоупокг",33.16,26.64,5.14,162
"11512580","GENERALI","фыгс","аМАМщЫСГ",NA,"14/06/2018","14/07/2018","гкиоупокг",33.16,26.64,5.14,162
"19.21295899","INTERLIFE асжакистийг","аутойимгтым","мщО сУЛБЭКАИО","вув0047","18/03/2018","18/09/2018","ахгма",70.85,48.84,10.26,1914
"11515826","GENERALI","фыгс","аМАМщЫСГ",NA,"21/03/2018","21/09/2018","икиом",201.75,162.55,32.03,1279
"11515826","GENERALI","фыгс","п пЯэНГ лЕТАТЯОПчР",NA,"21/03/2018","21/09/2018","икиом",0.01,0.01,0,1279
"7199821116","INTERASCO","аутойимгтым","аМАМщЫСГ","итб4708","26/10/2018","26/10/2019","икиом",254.12,166.9,33.38,1279
"11515826","GENERALI","фыгс","аМАМщЫСГ",NA,"21/09/2018","21/03/2019","икиом",201.75,162.55,32.03,1279
"11526996","GENERALI","фыгс","аМАМщЫСГ",NA,"18/05/2018","18/06/2018","ахгма",56.1,44.85,8.65,1773
"11526996","GENERALI","фыгс","аМАМщЫСГ",NA,"18/10/2018","18/11/2018","ахгма",56.1,44.85,8.65,1773
"11526996","GENERALI","фыгс","аМАМщЫСГ",NA,"18/07/2018","18/08/2018","ахгма",56.58,44.85,8.65,1773
"11526996","GENERALI","фыгс","аМАМщЫСГ",NA,"18/12/2018","18/01/2019","ахгма",56.1,44.85,8.65,1773
"11526996","GENERALI","фыгс","аМАМщЫСГ",NA,"18/02/2018","18/03/2018","ахгма",53.33,42.66,9.74,1773
"11526996","GENERALI","фыгс","аМАМщЫСГ",NA,"18/01/2018","18/02/2018","ахгма",53.33,42.66,9.74,1773
"11526996","GENERALI","фыгс","аМАМщЫСГ",NA,"18/03/2018","18/04/2018","ахгма",53.33,42.66,9.74,1773
"11526996","GENERALI","фыгс","аМАМщЫСГ",NA,"18/09/2018","18/10/2018","ахгма",56.1,44.85,8.65,1773
"11526996","GENERALI","фыгс","аМАМщЫСГ",NA,"18/11/2018","18/12/2018","ахгма",56.1,44.85,8.65,1773
"11526996","GENERALI","фыгс","аМАМщЫСГ",NA,"18/04/2018","18/05/2018","ахгма",56.1,44.85,8.52,1773
"11526996","GENERALI","фыгс","аМАМщЫСГ",NA,"18/06/2018","18/07/2018","ахгма",56.1,44.85,8.65,1773
"11526996","GENERALI","фыгс","аМАМщЫСГ",NA,"18/08/2018","18/09/2018","ахгма",56.1,44.85,8.65,1773
"21514410","ALLIANZ","аутойимгтым","аМАМщЫСГ","аил2858","01/12/2018","01/06/2019","ахгма",175.95,123.88,23.54,215
