N_Policy,Company,Category,Char,Started,Expired,District,Gender,Gross,Net,Commissions,id
953175,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΙΒΖ3002,14/09/2023,14/09/2024,ΑΤΤΙΚΗΣ,0,24,16.7,4.34,1580
32988092,ANYTIME,ΑΥΤΟΚΙΝΗΤΟ,ΙΤΤ8592,18/01/2023,18/01/2024,ΑΤΤΙΚΗΣ,2,245.63,168.68,18.55,1121
414449,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΙΤΤ8592,18/01/2023,18/01/2024,ΑΤΤΙΚΗΣ,2,5,3.62,0.87,1121
950158,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΙΟΑ9761,08/10/2023,08/04/2024,ΑΤΤΙΚΗΣ,2,12,8.34,2.17,1487
610487,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΙΟΑ9761,08/10/2023,08/04/2024,ΑΤΤΙΚΗΣ,2,2.5,1.81,0.43,1487
502863,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΙΟΑ9761,08/04/2023,08/10/2023,ΑΤΤΙΚΗΣ,0,2,1.45,0.19,1487
33529690,ANYTIME,ΑΥΤΟΚΙΝΗΤΟ,ΙΟΑ9761,08/10/2023,08/04/2024,ΑΤΤΙΚΗΣ,2,124.85,85.52,9.41,1487
33529690,ANYTIME,ΑΥΤΟΚΙΝΗΤΟ,ΙΟΑ9761,08/04/2023,08/10/2023,ΑΤΤΙΚΗΣ,0,130.75,89.59,9.85,1487
923629,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΙΟΑ9761,08/04/2023,08/10/2023,ΑΤΤΙΚΗΣ,0,11,7.66,0.31,1487
32262223,ANYTIME,ΑΥΤΟΚΙΝΗΤΟ,ΥΤΟ8849,21/05/2023,21/05/2024,ΑΤΤΙΚΗΣ,2,281.59,193.12,21.24,529
495909,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΥΤΟ8849,21/05/2023,21/05/2024,ΑΤΤΙΚΗΣ,2,5,3.62,0.87,529
467586,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΙΖΚ1152,24/02/2023,24/02/2024,ΕΥΒΟΙΑΣ,0,4,2.9,0.38,1468
33477792,ANYTIME,ΑΥΤΟΚΙΝΗΤΟ,ΙΖΚ1152,24/02/2023,24/02/2024,ΕΥΒΟΙΑΣ,0,119.08,81.31,8.94,1468
915366,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΙΖΚ1152,24/02/2023,24/02/2024,ΕΥΒΟΙΑΣ,0,22,15.3,0.61,1468
960505,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΥΕΡ5333,06/12/2023,06/12/2024,ΑΤΤΙΚΗΣ,1,24,16.7,4.34,1256
